instance,n,u,procs,elapsed
n_013_u_260_4,13,2.6,8,2.67499999999927
n_047_u_940_5,47,9.4,23,22.1450000000004
n_022_u_440_5,22,4.4,11,6.65599999999904
n_013_u_260_6,13,2.6,6,2.17599999999948
n_012_u_240_7,12,2.4,6,2.27599999999984
n_024_u_480_6,24,4.8,12,6.14000000000124
n_023_u_459_6,23,4.6,13,6.22899999999936
n_024_u_480_8,24,4.8,11,6.39600000000064
n_033_u_660_6,33,6.6,18,10.5850000000009
n_032_u_640_8,32,6.4,14,10.4860000000008
n_047_u_940_3,47,9.4,24,25.375
n_032_u_640_6,32,6.4,15,12.3320000000003
n_023_u_459_7,23,4.6,12,7.94399999999951
n_045_u_900_4,45,9,24,24.8540000000012
n_030_u_600_4,30,6,15,11.9660000000003
n_031_u_620_7,31,6.2,15,11.3060000000005
n_014_u_280_6,14,2.8,8,2.37900000000081
n_033_u_660_8,33,6.6,16,11.2339999999986
n_022_u_440_6,22,4.4,11,6.36999999999898
n_014_u_280_7,14,2.8,8,2.52400000000125
n_038_u_760_5,38,7.6,19,13.7139999999999
n_036_u_720_5,36,7.2,16,13.1350000000002
n_025_u_500_6,25,5,11,6.60300000000097
n_005_u_100_7,5,1,4,0.532999999999447
n_027_u_540_5,27,5.4,12,7.28499999999985
n_048_u_960_3,48,9.6,23,26.3490000000002
n_014_u_280_5,14,2.8,8,2.66799999999967
n_049_u_980_3,49,9.8,24,25.1329999999998
n_025_u_500_5,25,5,12,8.28600000000006
n_046_u_920_3,46,9.2,21,26.8430000000008
n_012_u_240_6,12,2.4,6,2.19500000000153
n_048_u_960_4,48,9.6,23,24.6869999999999
n_049_u_980_4,49,9.8,23,22.6550000000007
n_024_u_480_7,24,4.8,12,7.35299999999916
n_034_u_680_6,34,6.8,17,13.8179999999993
n_048_u_960_5,48,9.6,22,26.8420000000006
n_046_u_920_5,46,9.2,24,26.2619999999988
n_028_u_560_5,28,5.6,15,9.87900000000081
n_015_u_300_5,15,3,9,3.39700000000084
n_033_u_660_7,33,6.6,18,13.4660000000003
n_013_u_260_5,13,2.6,7,2.98199999999997
n_034_u_680_8,34,6.8,16,12.4609999999993
n_026_u_520_5,26,5.2,13,7.61100000000079
n_049_u_980_5,49,9.8,22,26.648000000001
n_018_u_360_8,18,3.6,9,4.43600000000151
n_025_u_500_8,25,5,12,7.4890000000014
n_015_u_300_6,15,3,9,3.52299999999923
n_036_u_720_6,36,7.2,18,14.7690000000002
n_050_u_1000_4,50,10,25,25.253999999999
n_016_u_320_5,16,3.2,8,4.33599999999933
n_026_u_520_7,26,5.2,11,7.97999999999956
n_050_u_1000_5,50,10,24,25.3520000000008
n_016_u_320_6,16,3.2,8,3.58399999999892
n_034_u_680_7,34,6.8,16,12.6650000000009
n_050_u_1000_2,50,10,23,31.125
n_029_u_580_5,29,5.8,14,9.75500000000102
n_013_u_260_7,13,2.6,7,2.63000000000102
n_015_u_300_7,15,3,7,2.83599999999933
n_039_u_780_5,39,7.8,19,17.8119999999999
n_027_u_540_7,27,5.4,12,7.60400000000118
n_037_u_740_6,37,7.4,17,14.3559999999998
n_006_u_120_7,6,1.2,4,0.845999999999549
n_025_u_500_7,25,5,12,6.625
n_050_u_1000_3,50,10,22,29.3709999999992
n_016_u_320_7,16,3.2,8,3.63100000000122
n_027_u_540_8,27,5.4,13,8.63799999999901
n_017_u_340_6,17,3.4,9,3.67100000000028
n_017_u_340_7,17,3.4,8,3.22800000000097
n_035_u_700_8,35,7,18,14.478000000001
n_036_u_720_7,36,7.2,19,12.0069999999996
n_045_u_900_6,45,9,20,23.1490000000013
n_027_u_540_6,27,5.4,14,9.71799999999894
n_017_u_340_4,17,3.4,9,4.80900000000111
n_035_u_700_6,35,7,18,13.5789999999997
n_037_u_740_7,37,7.4,17,13.6799999999985
n_044_u_880_7,44,8.8,21,20.5439999999999
n_040_u_800_5,40,8,20,20.2829999999994
n_007_u_140_7,7,1.4,4,0.847999999999956
n_012_u_240_8,12,2.4,6,2.76100000000042
n_047_u_940_6,47,9.4,23,21.5600000000013
n_017_u_340_5,17,3.4,9,4.72999999999956
n_037_u_740_9,37,7.4,16,15.1149999999998
n_028_u_560_6,28,5.6,12,9.35499999999956
n_019_u_380_8,19,3.8,10,5.91600000000108
n_011_u_220_9,11,2.2,6,2.03500000000167
n_028_u_560_7,28,5.6,13,8.66100000000006
n_044_u_880_6,44,8.8,22,23.6170000000002
n_046_u_920_6,46,9.2,24,21.9249999999993
n_038_u_760_7,38,7.6,21,14.2289999999994
n_026_u_520_6,26,5.2,12,10.5810000000001
n_041_u_819_5,41,8.2,20,19.0840000000007
n_026_u_520_8,26,5.2,13,8.65799999999945
n_031_u_620_9,31,6.2,14,10.0280000000002
n_036_u_720_8,36,7.2,19,16.4539999999997
n_005_u_100_9,5,1,3,0.679000000000087
n_014_u_280_8,14,2.8,7,2.6830000000009
n_044_u_880_9,44,8.8,20,20.0449999999983
n_035_u_700_7,35,7,19,15.7019999999993
n_008_u_160_7,8,1.6,5,0.914999999999054
n_040_u_800_6,40,8,22,15.2969999999987
n_042_u_840_5,42,8.4,22,22.5619999999999
n_011_u_220_8,11,2.2,5,2.1880000000001
n_029_u_580_7,29,5.8,14,10.7880000000005
n_028_u_560_8,28,5.6,14,10.2199999999993
n_038_u_760_6,38,7.6,17,15.4069999999992
n_007_u_140_8,7,1.4,4,0.730999999999767
n_013_u_260_8,13,2.6,7,2.16100000000006
n_011_u_220_11,11,2.2,6,1.67400000000089
n_045_u_900_8,45,9,21,20.5510000000013
n_020_u_400_8,20,4,11,4.5630000000001
n_043_u_860_5,43,8.6,20,18.1329999999998
n_005_u_100_8,5,1,3,0.86200000000099
n_009_u_180_7,9,1.8,5,1.68100000000049
n_030_u_600_7,30,6,15,9.05600000000049
n_029_u_580_8,29,5.8,15,9.71799999999894
n_045_u_900_9,45,9,21,20.1820000000007
n_029_u_580_6,29,5.8,14,13.0769999999993
n_010_u_200_7,10,2,6,1.35199999999895
n_037_u_740_8,37,7.4,17,15.6949999999997
n_030_u_600_8,30,6,14,9.92399999999907
n_018_u_360_10,18,3.6,9,3.84399999999914
n_012_u_240_10,12,2.4,6,2.30500000000029
n_044_u_880_8,44,8.8,21,20.5169999999998
n_024_u_480_10,24,4.8,11,6.72400000000016
n_039_u_780_6,39,7.8,18,15.5370000000003
n_048_u_960_6,48,9.6,22,28.2400000000016
n_012_u_240_11,12,2.4,6,2.17400000000089
n_021_u_420_8,21,4.2,10,5.10200000000077
n_006_u_120_8,6,1.2,4,0.674000000000888
n_050_u_1000_6,50,10,25,25.3529999999992
n_011_u_220_10,11,2.2,6,1.65799999999945
n_020_u_400_9,20,4,11,4.83100000000013
n_038_u_760_9,38,7.6,20,16.6470000000008
n_018_u_360_9,18,3.6,9,4.33300000000054
n_038_u_760_8,38,7.6,18,14.0560000000005
n_005_u_100_10,5,1,4,0.471999999999753
n_026_u_520_9,26,5.2,14,5.77599999999984
n_040_u_800_8,40,8,19,15.5209999999988
n_025_u_500_9,25,5,13,9.871000000001
n_045_u_900_7,45,9,21,24.3940000000002
n_024_u_480_9,24,4.8,11,6.89999999999964
n_039_u_780_8,39,7.8,19,17.5320000000011
n_007_u_140_10,7,1.4,4,0.719999999999345
n_046_u_920_7,46,9.2,23,25.25
n_030_u_600_5,30,6,14,12.6350000000002
n_015_u_300_8,15,3,8,2.97100000000137
n_005_u_100_11,5,1,3,1.82200000000012
n_027_u_540_9,27,5.4,13,8.19499999999971
n_024_u_480_12,24,4.8,14,6.52700000000004
n_006_u_120_10,6,1.2,4,0.826000000000931
n_042_u_840_6,42,8.4,21,17.9779999999992
n_030_u_600_6,30,6,16,11.4869999999992
n_041_u_819_6,41,8.2,19,20.8259999999991
n_022_u_440_8,22,4.4,12,6.99300000000039
n_017_u_340_8,17,3.4,9,3.44700000000012
n_012_u_240_9,12,2.4,7,2.0630000000001
n_023_u_459_8,23,4.6,13,6.20100000000093
n_040_u_800_9,40,8,18,16.4509999999991
n_049_u_980_6,49,9.8,24,24.8880000000008
n_019_u_380_9,19,3.8,10,4.41399999999885
n_009_u_180_8,9,1.8,5,1.32400000000052
n_008_u_160_8,8,1.6,6,1.25400000000081
n_007_u_140_11,7,1.4,5,0.841000000000349
n_013_u_260_9,13,2.6,7,2.84799999999996
