instance,n,u,procs
n_012_u_160_9,12,"1,6",8
n_012_u_040_7,12,"0,4",3
n_006_u_060_7,6,"0,6",3
n_006_u_040_9,6,"0,4",3
n_012_u_040_10,12,"0,4",3
n_024_u_040_7,24,"0,4",3
n_006_u_120_9,6,"1,2",5
n_006_u_160_11,6,"1,6",8
n_024_u_160_6,24,"1,6",10
n_018_u_140_6,18,"1,4",9
n_018_u_080_7,18,"0,8",4
n_018_u_140_5,18,"1,4",9
n_012_u_100_5,12,1,5
n_006_u_120_11,6,"1,2",5
n_012_u_060_8,12,"0,6",4
n_012_u_100_7,12,1,6
n_006_u_020_9,6,"0,2",3
n_018_u_100_7,18,1,4
n_006_u_020_12,6,"0,2",2
n_006_u_120_10,6,"1,2",7
n_024_u_100_9,24,1,4
n_006_u_160_10,6,"1,6",6
n_006_u_140_10,6,"1,4",7
n_012_u_120_5,12,"1,2",6
n_012_u_080_7,12,"0,8",5
n_012_u_080_8,12,"0,8",5
n_006_u_140_11,6,"1,4",8
n_024_u_160_7,24,"1,6",6
n_018_u_120_7,18,"1,2",5
n_018_u_160_8,18,"1,6",7
n_006_u_040_10,6,"0,4",3
n_006_u_080_7,6,"0,8",5
n_018_u_140_7,18,"1,4",5
n_012_u_120_6,12,"1,2",8
n_012_u_040_9,12,"0,4",3
n_012_u_100_6,12,1,4
n_012_u_100_8,12,1,6
n_018_u_040_9,18,"0,4",3
n_018_u_020_10,18,"0,2",2
n_006_u_080_9,6,"0,8",4
n_006_u_060_10,6,"0,6",3
n_006_u_060_9,6,"0,6",3
n_018_u_120_8,18,"1,2",5
n_006_u_100_7,6,1,4
n_006_u_020_11,6,"0,2",2
n_024_u_020_10,24,"0,2",2
n_012_u_060_9,12,"0,6",4
n_006_u_080_10,6,"0,8",4
n_018_u_040_10,18,"0,4",3
n_018_u_020_9,18,"0,2",2
n_006_u_100_8,6,1,4
n_018_u_080_8,18,"0,8",5
n_018_u_080_9,18,"0,8",4
n_006_u_080_8,6,"0,8",6
n_024_u_020_9,24,"0,2",2
n_012_u_120_8,12,"1,2",6
n_012_u_020_11,12,"0,2",3
n_018_u_120_9,18,"1,2",6
n_024_u_120_9,24,"1,2",5
n_018_u_100_8,18,1,5
n_018_u_060_9,18,"0,6",4
n_024_u_120_11,24,"1,2",6
n_018_u_160_9,18,"1,6",8
n_012_u_120_7,12,"1,2",5
n_006_u_040_11,6,"0,4",3
n_012_u_080_9,12,"0,8",3
n_024_u_100_11,24,1,6
n_018_u_100_9,18,1,6
n_024_u_080_9,24,"0,8",5
n_024_u_120_10,24,"1,2",8
n_012_u_020_12,12,"0,2",2
n_024_u_140_9,24,"1,4",7
n_006_u_100_10,6,1,5
n_012_u_100_9,12,1,4
n_024_u_100_8,24,1,5
n_006_u_160_12,6,"1,6",8
