instance,n,u,procs
n_006_u_100_45,6,1,5
n_006_u_060_50,6,"0,6",4
n_006_u_020_50,6,"0,2",3
n_012_u_080_50,12,"0,8",4
n_018_u_160_48,18,"1,6",8
n_018_u_140_47,18,"1,4",8
n_012_u_100_44,12,1,5
n_018_u_140_48,18,"1,4",6
n_006_u_100_50,6,1,4
n_018_u_120_44,18,"1,2",6
n_012_u_020_49,12,"0,2",2
n_012_u_060_48,12,"0,6",4
n_018_u_160_50,18,"1,6",11
n_012_u_100_47,12,1,5
n_006_u_100_47,6,1,4
n_012_u_120_44,12,"1,2",6
n_006_u_080_44,6,"0,8",4
n_024_u_060_44,24,"0,6",4
n_012_u_160_50,12,"1,6",8
n_012_u_020_50,12,"0,2",2
n_024_u_140_48,24,"1,4",6
n_006_u_120_43,6,"1,2",5
n_012_u_060_46,12,"0,6",4
n_012_u_060_47,12,"0,6",4
n_006_u_080_46,6,"0,8",4
n_006_u_040_50,6,"0,4",2
n_012_u_140_43,12,"1,4",6
n_018_u_100_47,18,1,6
n_012_u_040_47,12,"0,4",3
n_018_u_080_48,18,"0,8",5
n_006_u_100_46,6,1,5
n_006_u_080_49,6,"0,8",5
n_018_u_100_50,18,1,5
n_024_u_100_45,24,1,5
n_006_u_040_48,6,"0,4",3
n_018_u_140_50,18,"1,4",5
n_024_u_160_47,24,"1,6",8
n_006_u_160_50,6,"1,6",6
n_006_u_040_49,6,"0,4",2
n_006_u_020_49,6,"0,2",2
n_012_u_140_46,12,"1,4",5
n_024_u_020_44,24,"0,2",2
n_012_u_120_49,12,"1,2",6
n_006_u_120_45,6,"1,2",5
n_024_u_140_46,24,"1,4",6
n_012_u_140_50,12,"1,4",7
n_012_u_160_48,12,"1,6",7
n_012_u_120_50,12,"1,2",5
n_012_u_100_46,12,1,5
n_024_u_080_49,24,"0,8",4
n_006_u_120_48,6,"1,2",6
n_024_u_140_45,24,"1,4",8
n_018_u_100_49,18,1,5
n_012_u_080_49,12,"0,8",4
n_006_u_140_50,6,"1,4",6
n_006_u_080_48,6,"0,8",5
n_024_u_100_49,24,1,6
n_018_u_040_46,18,"0,4",3
n_012_u_060_50,12,"0,6",4
n_018_u_120_46,18,"1,2",8
n_018_u_160_47,18,"1,6",8
n_024_u_120_49,24,"1,2",6
n_018_u_120_50,18,"1,2",7
n_018_u_160_46,18,"1,6",9
n_024_u_040_48,24,"0,4",3
n_024_u_040_46,24,"0,4",3
n_012_u_020_48,12,"0,2",2
n_024_u_060_47,24,"0,6",4
n_024_u_060_49,24,"0,6",4
n_018_u_080_47,18,"0,8",4
n_024_u_060_48,24,"0,6",4
n_012_u_100_48,12,1,4
n_024_u_080_45,24,"0,8",5
n_018_u_140_49,18,"1,4",6
n_006_u_160_49,6,"1,6",7
n_018_u_120_48,18,"1,2",6
n_018_u_020_50,18,"0,2",2
n_006_u_080_50,6,"0,8",4
n_018_u_020_48,18,"0,2",2
n_024_u_040_50,24,"0,4",3
n_012_u_140_49,12,"1,4",7
n_012_u_060_49,12,"0,6",3
n_018_u_160_45,18,"1,6",6
n_012_u_140_48,12,"1,4",6
n_024_u_140_50,24,"1,4",7
n_024_u_080_47,24,"0,8",5
n_018_u_040_49,18,"0,4",3
n_024_u_080_50,24,"0,8",5
n_018_u_120_47,18,"1,2",9
n_018_u_040_50,18,"0,4",3
n_006_u_120_50,6,"1,2",6
n_024_u_160_49,24,"1,6",9
n_018_u_060_47,18,"0,6",3
n_012_u_100_50,12,1,5
n_012_u_160_49,12,"1,6",8
n_024_u_160_50,24,"1,6",8
n_012_u_140_47,12,"1,4",6
n_012_u_040_49,12,"0,4",3
n_012_u_100_49,12,1,5
n_018_u_060_49,18,"0,6",4
n_006_u_120_49,6,"1,2",6
