n,u,Algorithm,mean,sd,min_p,max_p,n_obs,CI
33,"6,6",W-GA-FTpEDF,"17,16","1,16689016323784",15,20,50,"0,331626515101092"
34,"6,8",W-GA-FTpEDF,"17,4","1,14285714285714",15,20,50,"0,324796406280834"
35,7,W-GA-FTpEDF,"18,32","1,40610911992735",16,23,50,"0,39961179036722"
36,"7,2",W-GA-FTpEDF,"18,7","1,21638474042331",17,21,50,"0,345692718301296"
37,"7,4",W-GA-FTpEDF,"19,04","1,3844618788098",17,22,50,"0,393459712511454"
38,"7,6",W-GA-FTpEDF,"19,74","1,04608112222987",18,22,50,"0,297292965531175"
39,"7,8",W-GA-FTpEDF,"20,06","1,26829469311017",18,23,50,"0,360445363623833"
40,8,W-GA-FTpEDF,"20,44","1,34255315708237",18,24,50,"0,381549385578674"
41,"8,2",W-GA-FTpEDF,"20,84","1,0946996606096",18,24,50,"0,311110201257491"
42,"8,4",W-GA-FTpEDF,"21,38","1,36859826994257",19,26,50,"0,388951324754575"
43,"8,6",W-GA-FTpEDF,"22,22","1,1480240344494",20,25,50,"0,32626482062404"
44,"8,8",W-GA-FTpEDF,"22,4","1,34011878852098",20,26,50,"0,38085754568841"
45,9,W-GA-FTpEDF,"23,14","1,47094305443404",20,26,50,"0,41803739068344"
46,"9,2",W-GA-FTpEDF,"23,24","1,5193983771781",21,27,50,"0,43180824103933"
47,"9,4",W-GA-FTpEDF,"23,8","1,16057691494799",21,26,50,"0,329832309789155"
48,"9,6",W-GA-FTpEDF,"24,64","1,20813568639234",23,28,50,"0,343348363084879"
49,"9,8",W-GA-FTpEDF,"24,78","1,34452783609742",22,28,50,"0,382110583145365"
50,10,W-GA-FTpEDF,"25,28","1,56544314649174",23,30,50,"0,444894019690294"
5,1,S-GA-FTpEDF,"3,26","0,486973158544552",3,5,50,"0,138396240369185"
6,"1,2",S-GA-FTpEDF,"3,9","0,580288457473997",3,5,50,"0,164916154894578"
7,"1,4",S-GA-FTpEDF,"4,42","0,60911444586651",4,6,50,"0,173108410152286"
8,"1,6",S-GA-FTpEDF,"4,6","0,571428571428571",4,6,50,"0,162398203140417"
9,"1,8",S-GA-FTpEDF,"4,98","0,514682386704338",4,6,50,"0,14627111588041"
10,2,S-GA-FTpEDF,"5,62","0,878077677750246",4,8,50,"0,249546914897613"
11,"2,2",S-GA-FTpEDF,"5,96","0,832012558774916",5,8,50,"0,236455352936787"
12,"2,4",S-GA-FTpEDF,"6,44","0,704504457482169",5,8,50,"0,200217951499158"
13,"2,6",S-GA-FTpEDF,"6,8","0,808122035641769",6,9,50,"0,229665741386199"
14,"2,8",S-GA-FTpEDF,"7,5","0,863074712399612",6,10,50,"0,245283119321851"
15,3,S-GA-FTpEDF,"7,74","0,803309481114831",6,10,50,"0,228298028522742"
16,"3,2",S-GA-FTpEDF,"8,24","0,87037406924159",7,11,50,"0,247357573583482"
17,"3,4",S-GA-FTpEDF,"8,62","0,779586494265272",7,10,50,"0,22155603025713"
18,"3,6",S-GA-FTpEDF,"9,26","0,899205998963212",8,12,50,"0,255551517348241"
19,"3,8",S-GA-FTpEDF,"9,7","0,863074712399612",8,12,50,"0,245283119321851"
20,4,S-GA-FTpEDF,"9,88","0,939821954479916",8,13,50,"0,267094444189043"
21,"4,2",S-GA-FTpEDF,"10,38","0,830293776384022",9,12,50,"0,235966880386014"
22,"4,4",S-GA-FTpEDF,"10,82","0,918961259204308",9,13,50,"0,261165900188261"
23,"4,6",S-GA-FTpEDF,"11,44","1,07209503081678",9,14,50,"0,304686036550728"
