instance,n,u,procs,elapsed,passive
n_029_u_580_6,29,5.8,15,0.157,22
n_045_u_900_6,45,9,22,0.376,37
n_006_u_120_8,6,1.2,4,0.012,5
n_038_u_760_6,38,7.6,19,0.25,32
n_028_u_560_8,28,5.6,16,0.159,22
n_018_u_360_10,18,3.6,10,0.0799999999999998,14
n_014_u_280_8,14,2.8,7,0.0429999999999999,12
n_011_u_220_9,11,2.2,6,0.034,7
n_043_u_860_6,43,8.6,22,0.275,34
n_040_u_800_6,40,8,23,0.302,35
n_012_u_240_8,12,2.4,7,0.0309999999999999,10
n_042_u_840_5,42,8.4,23,0.358,32
n_046_u_920_6,46,9.2,26,0.402,36
n_038_u_760_8,38,7.6,19,0.262,32
n_010_u_200_8,10,2,6,0.022,9
n_030_u_600_6,30,6,16,0.175,27
n_007_u_140_8,7,1.4,4,0.014,6
n_049_u_980_7,49,9.8,26,0.356,39
n_037_u_740_10,37,7.4,20,0.216,29
n_029_u_580_8,29,5.8,15,0.158,24
n_036_u_720_8,36,7.2,21,0.265,29
n_005_u_100_10,5,1,4,0.00800000000000001,5
n_043_u_860_5,43,8.6,21,0.334,37
n_009_u_180_7,9,1.8,5,0.022,7
n_005_u_100_8,5,1,3,0.0539999999999998,4
n_020_u_400_8,20,4,11,0.0940000000000001,17
n_044_u_880_8,44,8.8,22,0.364,35
n_037_u_740_7,37,7.4,18,0.279,32
n_019_u_380_9,19,3.8,10,0.069,16
n_044_u_880_9,44,8.8,22,0.35,33
n_039_u_780_9,39,7.8,21,0.269,32
n_041_u_819_5,41,8.2,20,0.327,31
n_010_u_200_7,10,2,6,0.022,9
n_013_u_260_8,13,2.6,7,0.0430000000000001,11
n_006_u_120_11,6,1.2,4,0.00900000000000012,4
n_038_u_760_9,38,7.6,21,0.253,31
n_008_u_160_7,8,1.6,5,0.0190000000000001,6
n_016_u_320_9,16,3.2,11,0.0469999999999999,13
n_011_u_220_11,11,2.2,6,0.0269999999999999,9
n_041_u_819_7,41,8.2,19,0.234,34
n_011_u_220_10,11,2.2,7,0.0309999999999999,9
n_050_u_1000_7,50,10,28,0.353,39
n_048_u_960_9,48,9.6,24,0.336,39
n_029_u_580_7,29,5.8,15,0.184,24
n_008_u_160_9,8,1.6,6,0.0149999999999997,6
