n,u,Algorithm,mean,sd,min_time,max_time,n_obs,CI
8,"1,6",S-GA-FTpEDF,"22,8468","2,23210518368207","17,0680000000002","28,2140000000009",50,"0,634357274338164"
9,"1,8",S-GA-FTpEDF,"27,53536","3,0974092054688","18,9399999999996","33,9979999999996",50,"0,880273956377761"
10,2,S-GA-FTpEDF,"32,3237399999999","2,8421540610126","24,1650000000001","39,2359999999999",50,"0,807731246974199"
11,"2,2",S-GA-FTpEDF,"38,76402","3,71477210820773","31,8270000000002","48,866",50,"1,05572655203588"
12,"2,4",S-GA-FTpEDF,"44,9201","4,52611106327972","33,3549999999996","57,3780000000002",50,"1,28630653180853"
13,"2,6",S-GA-FTpEDF,"49,93738","3,9619902898335","42,1270000000001","56,8850000000002",50,"1,1259851818753"
14,"2,8",S-GA-FTpEDF,"57,71518","4,45501757338665","48,9679999999989","71,7419999999997",50,"1,2661019855347"
15,3,S-GA-FTpEDF,"64,85724","5,79313585223483","53,4969999999998","79,473",50,"1,64639099266471"
16,"3,2",S-GA-FTpEDF,"71,7391599999999","6,34968392708473","59,4859999999999","88,4809999999998",50,"1,80456020546926"
17,"3,4",S-GA-FTpEDF,"80,56198","7,48123084244563","66,7979999999998","100,521",50,"2,12614228066072"
18,"3,6",S-GA-FTpEDF,"88,58798","6,42262437774093","75,3369999999995","103,076",50,"1,82528965218419"
19,"3,8",S-GA-FTpEDF,"97,8806","9,40896612117334","70,0159999999996","116,549",50,"2,67399858510332"
20,4,S-GA-FTpEDF,"107,95458","9,74320606222716","88,306","127,816",50,"2,76898852533189"
21,"4,2",S-GA-FTpEDF,"118,31536","9,41598103694791","98,1280000000006","139,057",50,"2,67599220210802"
22,"4,4",S-GA-FTpEDF,"128,82748","11,4767360222358","106,309999999999","163,619000000001",50,"3,26165228887399"
23,"4,6",S-GA-FTpEDF,"136,96486","11,2429330275348","116,584","161,715",50,"3,19520621297448"
24,"4,8",S-GA-FTpEDF,"149,42996","13,1213684421362","118,774","183,286",50,"3,729051651056"
25,5,S-GA-FTpEDF,"159,5305","13,6449816509625","132,432999999999","193,373",50,"3,87786087850048"
26,"5,2",S-GA-FTpEDF,"170,10994","15,2757499437267","134,268","202,48",50,"4,3413200993462"
27,"5,4",S-GA-FTpEDF,"184,48908","13,1113116279688","152,874","210,946999999999",50,"3,72619353609334"
28,"5,6",S-GA-FTpEDF,"197,39406","15,3843987372445","163,666","232,838",50,"4,37219774481736"
29,"5,8",S-GA-FTpEDF,"210,1519","19,2348438678989","176,137","261,348",50,"5,46648214320818"
30,6,S-GA-FTpEDF,"219,08468","18,9871890703566","183,131","273,455",50,"5,39609942849823"
31,"6,2",S-GA-FTpEDF,"232,95692","16,9791377282084","194,755","266,756",50,"4,82541755138573"
32,"6,4",S-GA-FTpEDF,"245,98724","19,9908289764509","189,253000000001","301,092",50,"5,68133073386027"
33,"6,6",S-GA-FTpEDF,"264,25586","23,3786766459244","214,065000000001","324,877",50,"6,64414638842318"
