instance,n,u,procs,elapsed
n_047_u_940_3,47,9.4,20,2.58924
n_024_u_480_8,24,4.8,9,0.694159999999974
n_047_u_940_4,47,9.4,19,2.53464
n_027_u_540_5,27,5.4,10,0.677560000000012
n_023_u_459_6,23,4.6,10,0.586980000000004
n_013_u_260_6,13,2.6,6,0.155780000000013
n_033_u_660_8,33,6.6,15,1.24118000000002
n_030_u_600_4,30,6,14,0.954500000000008
n_036_u_720_5,36,7.2,17,1.43635999999999
n_015_u_300_7,15,3,8,0.225279999999984
n_014_u_280_5,14,2.8,6,0.177479999999996
n_014_u_280_7,14,2.8,7,0.212799999999988
n_049_u_980_3,49,9.8,21,2.68442000000002
n_014_u_280_6,14,2.8,6,0.199239999999991
n_048_u_960_3,48,9.6,21,2.45168000000002
n_017_u_340_4,17,3.4,8,0.355780000000014
n_026_u_520_5,26,5.2,12,0.662160000000004
n_034_u_680_6,34,6.8,16,1.50561999999998
n_025_u_500_6,25,5,11,0.742800000000024
n_032_u_640_7,32,6.4,13,1.46522000000001
n_025_u_500_8,25,5,11,0.839760000000024
n_037_u_740_5,37,7.4,16,1.72335999999999
n_026_u_520_8,26,5.2,12,0.611940000000032
n_016_u_320_5,16,3.2,8,0.23714
n_050_u_1000_4,50,10,23,2.79900000000002
n_015_u_300_5,15,3,8,0.223279999999978
n_026_u_520_6,26,5.2,11,0.770020000000004
n_035_u_700_7,35,7,17,1.30292000000001
n_034_u_680_8,34,6.8,14,1.31567999999999
n_038_u_760_5,38,7.6,17,1.87838
n_033_u_660_7,33,6.6,16,1.27788
n_049_u_980_5,49,9.8,22,2.70752
n_005_u_100_7,5,1,3,0.0294800000000032
n_028_u_560_5,28,5.6,12,0.653839999999982
n_039_u_780_5,39,7.8,17,1.80012000000002
n_036_u_720_6,36,7.2,14,1.46565999999999
n_006_u_120_7,6,1.2,3,0.0407800000000134
n_036_u_720_8,36,7.2,15,1.59884000000002
n_038_u_760_6,38,7.6,17,1.41916000000001
n_017_u_340_6,17,3.4,8,0.243919999999998
n_005_u_100_8,5,1,3,0.024439999999995
n_044_u_880_6,44,8.8,20,2.21074
n_040_u_800_5,40,8,18,1.62966
n_050_u_1000_5,50,10,22,2.73153999999998
n_035_u_700_8,35,7,16,1.32074000000001
n_016_u_320_7,16,3.2,8,0.24640000000003
n_007_u_140_7,7,1.4,4,0.0455400000000008
n_026_u_520_7,26,5.2,10,0.772659999999996
n_011_u_220_8,11,2.2,5,0.100879999999997
n_028_u_560_8,28,5.6,14,0.728660000000018
n_018_u_360_8,18,3.6,8,0.357019999999974
n_035_u_700_6,35,7,16,1.43698
n_037_u_740_8,37,7.4,17,1.33868000000002
n_027_u_540_7,27,5.4,11,0.694000000000014
n_029_u_580_5,29,5.8,13,0.946499999999978
n_018_u_360_9,18,3.6,9,0.277400000000016
n_017_u_340_7,17,3.4,7,0.255780000000014
n_019_u_380_8,19,3.8,9,0.41558000000001
n_027_u_540_6,27,5.4,11,0.869279999999998
n_045_u_900_6,45,9,19,2.11298000000002
n_048_u_960_4,48,9.6,22,3.42764
n_028_u_560_6,28,5.6,12,0.701160000000018
n_020_u_400_8,20,4,9,0.383199999999998
n_027_u_540_8,27,5.4,13,0.99666000000001
n_049_u_980_4,49,9.8,19,3.1411
n_012_u_240_8,12,2.4,6,0.138840000000018
n_037_u_740_6,37,7.4,15,1.65755999999998
n_015_u_300_6,15,3,8,0.185519999999997
n_037_u_740_9,37,7.4,15,1.29810000000001
n_030_u_600_5,30,6,13,1.06824000000001
n_050_u_1000_3,50,10,19,3.71522
n_029_u_580_6,29,5.8,12,0.995499999999992
n_016_u_320_6,16,3.2,7,0.267099999999992
n_036_u_720_7,36,7.2,14,1.42742000000002
n_047_u_940_6,47,9.4,20,2.4061
n_044_u_880_9,44,8.8,20,2.16413999999998
n_040_u_800_6,40,8,18,1.49907999999999
n_041_u_819_5,41,8.2,16,2.13825999999998
n_024_u_480_9,24,4.8,9,0.708480000000018
n_007_u_140_8,7,1.4,4,0.0477999999999884
n_044_u_880_7,44,8.8,19,2.34097999999998
n_008_u_160_7,8,1.6,4,0.0596000000000276
n_031_u_620_9,31,6.2,13,0.705900000000002
n_029_u_580_8,29,5.8,13,0.838319999999986
n_046_u_920_6,46,9.2,22,2.49813999999998
n_011_u_220_11,11,2.2,5,0.118420000000006
n_025_u_500_9,25,5,10,0.436700000000018
n_037_u_740_7,37,7.4,15,1.88144
n_038_u_760_8,38,7.6,16,1.68621999999999
n_014_u_280_8,14,2.8,6,0.182360000000008
n_011_u_220_9,11,2.2,5,0.0975199999999676
n_017_u_340_5,17,3.4,7,0.26974000000002
n_005_u_100_10,5,1,3,0.0283600000000296
n_030_u_600_7,30,6,13,1.01176000000003
n_044_u_880_8,44,8.8,18,2.22372
n_013_u_260_8,13,2.6,7,0.159199999999983
n_042_u_840_5,42,8.4,20,2.36284
n_011_u_220_10,11,2.2,6,0.117540000000008
n_009_u_180_7,9,1.8,4,0.084300000000003
n_020_u_400_9,20,4,8,0.355820000000022
n_039_u_780_6,39,7.8,16,1.70106
n_006_u_120_8,6,1.2,3,0.0349199999999838
n_039_u_780_9,39,7.8,18,1.58664000000001
n_038_u_760_7,38,7.6,19,1.68272000000001
n_031_u_620_10,31,6.2,14,1.03139999999999
n_005_u_100_9,5,1,4,0.0296600000000034
n_006_u_120_11,6,1.2,3,0.0387000000000262
n_046_u_920_7,46,9.2,19,2.21246000000002
n_018_u_360_11,18,3.6,10,0.38964
n_021_u_420_8,21,4.2,8,0.51804
n_028_u_560_7,28,5.6,12,0.855999999999986
n_030_u_600_8,30,6,13,1.20802
n_038_u_760_9,38,7.6,17,1.8698
n_005_u_100_11,5,1,3,0.025759999999973
n_013_u_260_9,13,2.6,7,0.194120000000003
n_043_u_860_5,43,8.6,19,2.18662
n_032_u_640_9,32,6.4,13,1.22476000000002
n_045_u_900_7,45,9,17,2.60591999999996
n_018_u_360_10,18,3.6,7,0.278739999999998
n_024_u_480_12,24,4.8,10,0.703200000000034
n_010_u_200_7,10,2,5,0.0972599999999874
n_029_u_580_7,29,5.8,13,0.94416000000001
n_019_u_380_12,19,3.8,8,0.339079999999994
n_027_u_540_9,27,5.4,12,0.72206000000002
n_019_u_380_9,19,3.8,9,0.382560000000012
n_024_u_480_10,24,4.8,9,0.737099999999992
n_039_u_780_7,39,7.8,17,1.96631999999998
n_022_u_440_8,22,4.4,11,0.581399999999994
n_012_u_240_9,12,2.4,6,0.145600000000013
n_026_u_520_9,26,5.2,12,0.673500000000022
n_006_u_120_9,6,1.2,3,0.0479199999999764
n_048_u_960_6,48,9.6,21,3.14740000000002
n_033_u_660_9,33,6.6,13,1.33540000000001
n_024_u_480_11,24,4.8,10,0.643559999999998
n_045_u_900_8,45,9,18,2.20268
n_030_u_600_6,30,6,13,0.913840000000018
n_039_u_780_8,39,7.8,17,1.79349999999999
n_046_u_920_9,46,9.2,19,2.55192
n_041_u_819_6,41,8.2,18,2.0793
n_006_u_120_10,6,1.2,4,0.0423400000000038
n_012_u_240_10,12,2.4,6,0.117279999999992
n_015_u_300_8,15,3,6,0.201679999999978
n_018_u_360_12,18,3.6,8,0.432720000000008
n_008_u_160_8,8,1.6,4,0.0680000000000292
n_041_u_819_9,41,8.2,16,1.87106
n_047_u_940_7,47,9.4,21,2.43297999999998
n_008_u_160_11,8,1.6,5,0.0509200000000056
n_045_u_900_9,45,9,18,2.91452000000002
n_013_u_260_11,13,2.6,5,0.155200000000004
n_040_u_800_8,40,8,16,1.93330000000002
n_019_u_380_10,19,3.8,9,0.401140000000014
n_042_u_840_6,42,8.4,19,1.97012000000002
n_007_u_140_10,7,1.4,4,0.0501599999999962
n_012_u_240_11,12,2.4,5,0.113280000000013
n_047_u_940_8,47,9.4,22,3.06716
n_014_u_280_9,14,2.8,7,0.192039999999979
n_040_u_800_7,40,8,16,1.91778000000002
n_009_u_180_8,9,1.8,5,0.0929799999999886
n_046_u_920_8,46,9.2,21,2.4596
n_019_u_380_11,19,3.8,9,0.337299999999996
n_007_u_140_9,7,1.4,4,0.041840000000011
n_025_u_500_10,25,5,11,0.569439999999996
n_026_u_520_10,26,5.2,10,0.75173999999999
n_023_u_459_8,23,4.6,11,0.654300000000002
n_038_u_760_10,38,7.6,16,1.3982
n_005_u_100_12,5,1,3,0.047980000000025
n_033_u_660_10,33,6.6,15,1.1573
n_050_u_1000_6,50,10,21,2.73192
n_014_u_280_10,14,2.8,6,0.208480000000018
n_041_u_819_7,41,8.2,17,1.98653999999999
n_013_u_260_10,13,2.6,7,0.156540000000023
n_021_u_420_9,21,4.2,9,0.459159999999974
n_031_u_620_12,31,6.2,14,1.11047999999999
n_008_u_160_9,8,1.6,4,0.0702799999999842
n_037_u_740_10,37,7.4,15,1.68018
n_048_u_960_8,48,9.6,22,2.75705999999998
n_021_u_420_12,21,4.2,10,0.464500000000008
n_020_u_400_11,20,4,10,0.349860000000008
n_049_u_980_9,49,9.8,19,2.61413999999998
n_020_u_400_10,20,4,8,0.28786
n_040_u_800_9,40,8,18,2.12254
n_031_u_620_11,31,6.2,13,0.979679999999972
n_042_u_840_7,42,8.4,19,1.86914000000001
n_007_u_140_11,7,1.4,4,0.066339999999982
n_017_u_340_8,17,3.4,8,0.266719999999986
n_049_u_980_6,49,9.8,21,3.28962
n_009_u_180_9,9,1.8,5,0.070799999999981
n_032_u_640_13,32,6.4,14,1.00482
n_025_u_500_11,25,5,10,0.738459999999978
n_018_u_360_13,18,3.6,8,0.314940000000024
n_049_u_980_7,49,9.8,21,2.83119999999998
n_043_u_860_6,43,8.6,17,2.08764
n_028_u_560_9,28,5.6,13,0.776520000000018
n_022_u_440_9,22,4.4,10,0.475139999999992
n_015_u_300_10,15,3,7,0.240499999999992
n_016_u_320_11,16,3.2,7,0.232940000000016
n_010_u_200_8,10,2,5,0.0937999999999738
n_032_u_640_10,32,6.4,15,1.12828000000001
n_034_u_680_9,34,6.8,15,1.43536
n_021_u_420_10,21,4.2,10,0.38890000000003
n_016_u_320_8,16,3.2,7,0.217599999999984
n_025_u_500_12,25,5,12,0.708960000000006
n_048_u_960_9,48,9.6,21,2.87696
n_050_u_1000_9,50,10,20,2.75751999999996
n_016_u_320_9,16,3.2,8,0.24304
n_026_u_520_12,26,5.2,12,0.886299999999974
n_048_u_960_7,48,9.6,20,2.79816000000002
n_043_u_860_8,43,8.6,19,1.99186000000002
n_020_u_400_12,20,4,10,0.413079999999972
n_010_u_200_10,10,2,5,0.105859999999993
n_035_u_700_9,35,7,15,1.36448
n_015_u_300_11,15,3,7,0.213899999999994
n_026_u_520_11,26,5.2,11,0.72333999999999
n_027_u_540_10,27,5.4,11,0.930800000000018
n_042_u_840_9,42,8.4,19,2.26362
n_047_u_940_9,47,9.4,18,3.3991
n_022_u_440_10,22,4.4,9,0.518960000000006
n_017_u_340_11,17,3.4,8,0.26369999999999
n_015_u_300_9,15,3,6,0.247639999999992
n_009_u_180_11,9,1.8,5,0.0852799999999842
n_027_u_540_11,27,5.4,12,0.865659999999988
n_037_u_740_11,37,7.4,17,1.58191999999999
n_044_u_880_10,44,8.8,19,2.41648000000002
n_040_u_800_10,40,8,17,1.61261999999999
n_031_u_620_13,31,6.2,14,1.36362000000001
n_014_u_280_11,14,2.8,6,0.170020000000004
n_007_u_140_12,7,1.4,3,0.0422000000000116
n_050_u_1000_7,50,10,19,2.82148000000002
n_023_u_459_9,23,4.6,11,0.556779999999998
n_044_u_880_11,44,8.8,17,2.09432
n_011_u_220_12,11,2.2,5,0.111779999999999
n_050_u_1000_10,50,10,21,2.81656000000002
n_049_u_980_8,49,9.8,22,2.66309999999998
n_032_u_640_11,32,6.4,15,1.26498
n_037_u_740_12,37,7.4,15,1.66065999999999
n_037_u_740_13,37,7.4,15,1.83274000000001
n_043_u_860_9,43,8.6,19,1.97338
n_030_u_600_9,30,6,12,0.832099999999992
n_011_u_220_13,11,2.2,7,0.111139999999978
n_023_u_459_11,23,4.6,10,0.435939999999974
n_010_u_200_11,10,2,6,0.085580000000009
n_033_u_660_12,33,6.6,15,1.02078000000001
n_028_u_560_11,28,5.6,12,0.81438000000002
n_039_u_780_10,39,7.8,16,1.83946
n_032_u_640_12,32,6.4,16,1.31326000000001
n_006_u_120_12,6,1.2,3,0.0432399999999688
n_036_u_720_9,36,7.2,16,1.31594000000001
